src_ip,dst_ip,src_port,dst_port,protocol,duration_s,pkt_count,byte_count,pkt_per_sec,byte_per_sec,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,iat_mean,iat_std,iat_min,iat_max,syn_count,ack_count,rst_count,fin_count,psh_count,urg_count,syn_ratio,rst_ratio,ttl_mean,ttl_std,win_mean,only_syn,syn_no_ack,has_rst,label
172.30.0.100,172.30.0.13,8080,35970,6,0.000175,8,745,45714.485,4257161.4169,93.125,65.8055,66,267,2.5e-05,1.8e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,34548,6,0.000146,8,746,54827.5033,5112664.6797,93.25,66.1358,66,268,2.1e-05,1.6e-05,7e-06,5.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,47188,6,0.00012,8,745,66576.254,6199913.6508,93.125,65.8055,66,267,1.7e-05,1.5e-05,8e-06,5.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,35984,6,0.000166,8,746,48210.3908,4495618.9425,93.25,66.1358,66,268,2.4e-05,1.7e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,47194,6,0.000169,8,745,47393.2655,4413497.8531,93.125,65.8055,66,267,2.4e-05,1.8e-05,7e-06,6.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,34560,6,0.000171,8,745,46798.371,4358098.2985,93.125,65.8055,66,267,2.4e-05,1.9e-05,7e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,54164,6,0.000171,8,746,46798.371,4363948.0948,93.25,66.1358,66,268,2.4e-05,1.8e-05,8e-06,6.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,55338,6,0.00018,8,746,44442.9563,4144305.6742,93.25,66.1358,66,268,2.6e-05,1.8e-05,7e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,57900,6,0.000125,8,746,64035.1756,5971280.1221,93.25,66.1358,66,268,1.8e-05,1.5e-05,7e-06,5.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,57908,6,0.000172,8,745,46538.7406,4333920.2219,93.125,65.8055,66,267,2.5e-05,1.8e-05,8e-06,6.4e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,54176,6,0.000166,8,746,48141.2224,4489168.9871,93.25,66.1358,66,268,2.4e-05,1.7e-05,7e-06,6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,46018,6,0.00016,8,746,50006.6051,4663115.9225,93.25,66.1358,66,268,2.3e-05,2e-05,9e-06,7.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,37432,6,0.000137,8,746,58355.5339,5441653.5374,93.25,66.1358,66,268,2e-05,1.5e-05,7e-06,5.4e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,60890,6,0.00016,8,746,50006.6051,4663115.9225,93.25,66.1358,66,268,2.3e-05,2.3e-05,9e-06,7.8e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,46032,6,0.000187,8,746,42744.4994,3985924.5656,93.25,66.1358,66,268,2.7e-05,2.1e-05,7e-06,7.4e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,60892,6,0.00015,8,746,53345.6789,4974484.5533,93.25,66.1358,66,268,2.1e-05,1.6e-05,6e-06,5.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,37440,6,0.000175,8,746,45714.485,4262875.7275,93.25,66.1358,66,268,2.5e-05,1.8e-05,8e-06,6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,59170,6,0.000182,8,745,43976.9751,4095355.806,93.125,65.8055,66,267,2.6e-05,2e-05,6e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,39104,6,0.000127,9,812,70956.2707,6401832.4211,90.2222,62.9387,66,268,1.6e-05,1.4e-05,6e-06,5.3e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.11,8080,48950,6,0.000155,8,746,51542.9063,4806376.0123,93.25,66.1358,66,268,2.2e-05,1.6e-05,7e-06,5.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,59186,6,0.000171,8,746,46798.371,4363948.0948,93.25,66.1358,66,268,2.4e-05,1.8e-05,7e-06,6.4e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,39118,6,0.000141,8,745,56775.6887,5287236.0068,93.125,65.8055,66,267,2e-05,1.6e-05,6e-06,5.6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,48966,6,0.000183,8,746,43690.6667,4074154.6667,93.25,66.1358,66,268,2.6e-05,1.9e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,48744,6,0.000197,8,746,40573.6784,3783495.5067,93.25,66.1358,66,268,2.8e-05,2.2e-05,1e-05,7.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,36612,6,0.000132,8,745,60567.5668,5640354.657,93.125,65.8055,66,267,1.9e-05,1.6e-05,6e-06,5.6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,35672,6,0.000131,8,746,61008.0582,5689001.4255,93.25,66.1358,66,268,1.9e-05,1.4e-05,7e-06,5.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,48760,6,0.000174,8,746,45964.9753,4286233.9507,93.25,66.1358,66,268,2.5e-05,1.8e-05,7e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,36614,6,0.000173,8,745,46218.2259,4304072.2865,93.125,65.8055,66,267,2.5e-05,1.7e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,35676,6,0.000124,8,746,64527.7538,6017213.0462,93.25,66.1358,66,268,1.8e-05,1.4e-05,8e-06,5.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,46434,6,0.000185,8,745,43240.2474,4026748.0412,93.125,65.8055,66,267,2.6e-05,1.8e-05,8e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,39808,6,0.000153,8,745,52347.0078,4874815.1014,93.125,65.8055,66,267,2.2e-05,1.8e-05,7e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,43784,6,0.000117,8,746,68338.9654,6372608.5214,93.25,66.1358,66,268,1.7e-05,1.4e-05,8e-06,5.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,46450,6,0.000175,8,746,45714.485,4262875.7275,93.25,66.1358,66,268,2.5e-05,1.8e-05,7e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,43792,6,0.000118,8,745,67786.7313,6312639.3535,93.125,65.8055,66,267,1.7e-05,1.4e-05,7e-06,4.9e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,39812,6,0.000163,8,746,49128.0117,4581187.0922,93.25,66.1358,66,268,2.3e-05,1.7e-05,6e-06,6.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,37590,6,0.000169,8,746,47326.4203,4413188.6939,93.25,66.1358,66,268,2.4e-05,1.8e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,37060,6,0.000112,8,746,71392.4085,6657342.0936,93.25,66.1358,66,268,1.6e-05,1.3e-05,8e-06,4.9e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,38350,6,0.000117,8,746,68338.9654,6372608.5214,93.25,66.1358,66,268,1.7e-05,1.3e-05,9e-06,4.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,37606,6,0.000166,8,746,48210.3908,4495618.9425,93.25,66.1358,66,268,2.4e-05,1.8e-05,6e-06,6.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,38356,6,0.000126,9,812,71493.8182,6450331.1515,90.2222,62.9387,66,268,1.6e-05,1.4e-05,6e-06,5.3e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.13,8080,37064,6,0.000112,9,812,80316.4596,7246329.4638,90.2222,62.9387,66,268,1.4e-05,1.5e-05,1e-06,4.9e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.13,8080,55436,6,0.000178,8,745,44918.9183,4183074.2704,93.125,65.8055,66,267,2.5e-05,1.8e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,57206,6,0.000128,8,746,62484.9758,5826723.9926,93.25,66.1358,66,268,1.8e-05,1.6e-05,6e-06,5.6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,48464,6,1769.482755,16,1491,0.009,0.8426,93.1875,65.9708,66,268,117.965517,441.386471,7e-06,1769.482467,4,14,0,4,2,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,55450,6,0.000172,8,746,46538.7406,4339737.5645,93.25,66.1358,66,268,2.5e-05,1.9e-05,7e-06,6.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,48472,6,1773.683467,16,1491,0.009,0.8406,93.1875,65.9708,66,268,118.245564,442.434303,6e-06,1773.683143,4,14,0,4,2,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,57214,6,0.000144,8,746,55553.6954,5180382.0927,93.25,66.1358,66,268,2.1e-05,1.6e-05,7e-06,5.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,55454,6,0.000178,8,746,44918.9183,4188689.1352,93.25,66.1358,66,268,2.5e-05,1.8e-05,7e-06,6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,59572,6,0.000173,8,746,46218.2259,4309849.5647,93.25,66.1358,66,268,2.5e-05,1.8e-05,7e-06,6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,49012,6,0.00013,8,746,61567.7651,5741194.0991,93.25,66.1358,66,268,1.9e-05,1.5e-05,7e-06,5.3e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,42928,6,0.00019,8,746,42100.9184,3925910.6449,93.25,66.1358,66,268,2.7e-05,2e-05,7e-06,6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,49028,6,0.000159,8,746,50382.03,4698124.3003,93.25,66.1358,66,268,2.3e-05,1.7e-05,7e-06,5.9e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,59584,6,0.000117,9,811,76881.336,6927862.6151,90.1111,62.6249,66,267,1.5e-05,1.4e-05,6e-06,5.1e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.13,8080,42934,6,0.000168,8,746,47594.939,4438228.0624,93.25,66.1358,66,268,2.4e-05,1.6e-05,7e-06,5.8e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,36000,6,0.000156,8,746,51306.4709,4784328.4159,93.25,66.1358,66,268,2.2e-05,2.2e-05,8e-06,7.5e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,54076,6,0.0002,8,746,39993.3635,3729381.149,93.25,66.1358,66,268,2.9e-05,2.4e-05,9e-06,8.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,35308,6,0.000115,8,746,69615.0041,6491599.1369,93.25,66.1358,66,268,1.6e-05,1.4e-05,3e-06,4.8e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,36014,6,0.00013,8,746,61455.0037,5730679.0916,93.25,66.1358,66,268,1.9e-05,1.7e-05,8e-06,5.9e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,36020,6,0.000166,8,746,48210.3908,4495618.9425,93.25,66.1358,66,268,2.4e-05,1.7e-05,8e-06,5.9e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,54088,6,0.000174,8,746,45964.9753,4286233.9507,93.25,66.1358,66,268,2.5e-05,1.7e-05,7e-06,6.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,54308,6,0.00017,8,746,47060.9144,4388430.2721,93.25,66.1358,66,268,2.4e-05,1.8e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,60196,6,0.000209,8,745,38260.4698,3563006.2486,93.125,65.8055,66,267,3e-05,2e-05,7e-06,6.4e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,46396,6,0.000117,9,812,76881.336,6936404.9857,90.2222,62.9387,66,268,1.5e-05,1.4e-05,6e-06,5e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.12,8080,54316,6,0.00012,8,746,66576.254,6208235.6825,93.25,66.1358,66,268,1.7e-05,1.5e-05,6e-06,5.4e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,60202,6,0.000172,8,746,46538.7406,4339737.5645,93.25,66.1358,66,268,2.5e-05,1.8e-05,7e-06,6.1e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,46402,6,2215.208257,16,1492,0.0072,0.6735,93.25,66.1358,66,268,147.68055,552.569946,7e-06,2215.207971,4,14,0,4,2,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,54328,6,0.000126,9,812,71358.6692,6438137.7089,90.2222,62.9387,66,268,1.6e-05,1.6e-05,6e-06,5.7e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.12,8080,48284,6,2311.196045,16,1492,0.0069,0.6456,93.25,66.1358,66,268,154.079736,576.513482,6e-06,2311.195665,4,14,0,4,2,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,40988,6,0.000117,9,812,76881.336,6936404.9857,90.2222,62.9387,66,268,1.5e-05,1.4e-05,6e-06,5.1e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.13,8080,45314,6,0.00017,9,812,52943.5288,4776682.8163,90.2222,62.9387,66,268,2.1e-05,1.8e-05,7e-06,6.1e-05,2,8,0,2,1,0,0.2222,0.0,64.0,0.0,14770.22,0,0,0,benign
172.30.0.100,172.30.0.12,8080,48288,6,0.000186,8,746,42963.4213,4006339.032,93.25,66.1358,66,268,2.7e-05,2e-05,7e-06,6.6e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,41004,6,0.000183,8,746,43747.6297,4079466.472,93.25,66.1358,66,268,2.6e-05,1.9e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,52342,6,0.000152,8,746,52593.1536,4904311.5737,93.25,66.1358,66,268,2.2e-05,1.7e-05,6e-06,5.9e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,52396,6,388.21287,16,1492,0.0412,3.8433,93.25,66.1358,66,268,25.880858,96.837214,6e-06,388.212535,4,14,0,4,2,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
